,genres
845,"[12, 28, 36, 10752]"
846,"[10752, 28, 18, 36]"
847,"[18, 36]"
848,"[80, 18, 36]"
849,"[18, 36]"
850,"[36, 35]"
851,"[18, 10752, 10749, 36]"
852,"[18, 36]"
853,"[28, 18, 36, 10752]"
854,"[18, 36]"
855,"[28, 18, 36, 10752]"
856,"[10752, 18, 36]"
857,"[18, 36, 10752]"
858,"[18, 36]"
859,"[18, 36, 10752]"
860,"[37, 18, 36, 10770]"
861,"[14, 18, 36]"
862,"[18, 36, 10749]"
863,"[18, 10749, 36]"
864,"[16, 18, 10751, 36]"
865,"[99, 36, 10752]"
866,"[18, 36, 10752]"
867,"[10752, 18, 36]"
868,"[35, 18, 36]"
869,"[35, 10752, 36]"
870,"[99, 36]"
871,"[36, 37]"
872,"[18, 36]"
873,"[99, 36]"
874,"[18, 36]"
875,"[36, 18]"
876,"[12, 28, 18, 36]"
877,"[12, 18, 10770, 36]"
878,"[36, 18]"
879,"[28, 36]"
880,"[99, 35, 36]"
881,"[35, 18, 36]"
882,"[18, 36]"
883,"[99, 18, 36]"
884,"[18, 10749, 36]"
885,"[28, 12, 18, 36, 10752]"
886,"[10752, 36]"
887,"[18, 36]"
888,"[18, 36]"
889,"[18, 36]"
890,"[36, 18, 28, 10752]"
891,"[18, 36]"
892,"[18, 10752, 36]"
893,"[35, 99, 18, 36]"
894,"[36, 18, 10749]"
895,"[28, 80, 18, 36]"
896,"[18, 36]"
897,[27]
898,"[27, 9648, 80]"
899,"[27, 53]"
900,"[27, 53]"
901,"[27, 35]"
902,"[27, 53]"
903,"[27, 9648]"
904,[27]
905,"[27, 53, 80]"
906,"[27, 9648]"
907,"[27, 35]"
908,"[80, 18, 27, 53]"
909,[27]
910,"[27, 9648]"
911,"[27, 53]"
912,[27]
913,"[27, 9648, 53]"
914,"[27, 9648]"
915,"[14, 27, 9648, 53]"
916,"[27, 18, 878]"
917,"[18, 27, 9648]"
918,[27]
919,"[10752, 18, 27]"
920,"[27, 53]"
921,"[27, 35]"
922,[27]
923,"[18, 27, 878, 53]"
924,"[27, 9648, 53]"
925,"[27, 53]"
926,"[27, 9648]"
927,"[27, 878]"
928,[27]
929,"[27, 53]"
930,"[14, 27, 53]"
931,"[27, 53]"
932,"[28, 80, 53, 27]"
933,"[28, 27, 878]"
934,"[27, 53]"
935,"[12, 27]"
936,"[27, 878, 53]"
937,[27]
938,"[27, 53]"
939,"[27, 53]"
940,"[27, 53]"
941,"[27, 9648, 53]"
942,"[18, 27, 53]"
943,"[53, 27]"
944,"[12, 27]"
945,[27]
946,"[28, 12, 27, 53]"
947,[27]
948,"[27, 53]"
949,"[27, 53]"
950,"[27, 53]"
951,"[27, 9648, 878]"
952,"[18, 27, 80]"
953,[27]
954,"[18, 9648, 27]"
955,"[27, 878, 53]"
956,"[14, 27]"
957,[27]
958,"[27, 16, 18]"
959,"[18, 27, 53]"
960,"[27, 53]"
961,"[27, 53]"
962,"[53, 27]"
963,"[35, 27]"
964,[27]
965,"[27, 9648, 53, 18]"
966,"[27, 53]"
967,"[14, 28, 27]"
968,"[10770, 14, 16, 28, 53, 878, 27]"
969,"[27, 9648, 53]"
970,"[53, 27]"
971,"[27, 35]"
972,"[12, 27, 878]"
973,"[28, 27, 53]"
974,"[53, 27, 878]"
975,"[27, 53, 9648]"
976,"[14, 27]"
977,"[28, 12, 14, 27]"
978,"[28, 35, 27]"
979,"[878, 27]"
980,"[27, 53, 878]"
981,"[35, 878, 27, 53]"
982,"[27, 53, 9648]"
983,"[27, 53, 18]"
984,"[28, 14, 27]"
985,"[27, 53]"
986,[27]
987,[27]
988,"[18, 27, 53, 10770]"
989,"[27, 53]"
990,"[10402, 18]"
991,"[18, 80, 10402]"
992,"[53, 28, 18, 10402, 10749]"
993,"[16, 878, 12, 14, 10402]"
994,"[18, 10402, 10749]"
995,"[18, 10402, 10749]"
996,"[10402, 35, 28, 80]"
997,"[18, 10751, 10402, 10749]"
998,"[18, 10749, 35, 10402]"
999,"[18, 35, 10402]"
1000,"[35, 10402, 10749]"
1001,"[18, 10751, 10749, 10402]"
1002,"[18, 10402]"
1003,"[35, 10402, 10749]"
1004,"[10402, 18]"
1005,"[10749, 18, 10402]"
1006,"[18, 10751, 16, 12, 10402]"
1007,"[10402, 18, 10749]"
1008,"[10751, 35, 18, 10402, 10770]"
1009,"[10402, 18]"
1010,"[18, 10402]"
1011,"[10751, 12, 35, 10402, 14, 10770]"
1012,"[18, 37, 10402, 10749]"
1013,"[35, 10402, 10749]"
1014,"[18, 35, 10402]"
1015,"[18, 10402]"
1016,"[35, 10402, 10749]"
1017,"[35, 10402, 10749]"
1018,"[99, 10402]"
1019,[10402]
1020,"[99, 10402]"
1021,"[35, 18, 10402]"
1022,"[35, 99, 10402]"
1023,"[10402, 10749]"
1024,"[99, 10402]"
1025,"[10402, 18, 80]"
1026,"[18, 10402, 10749]"
1027,"[18, 36, 10402]"
1028,"[16, 10751, 10402, 35]"
1029,"[10749, 18, 35, 10402]"
1030,"[99, 10402]"
1031,"[18, 36, 10402, 10749]"
1032,"[35, 18, 10402]"
1033,"[18, 10402]"
1034,"[35, 10402, 18]"
1035,"[10402, 18, 10770]"
1036,"[18, 10749, 10402]"
1037,"[14, 10402, 10749]"
1038,"[16, 35, 10402]"
1039,"[99, 10402]"
1040,"[35, 10402]"
1041,"[99, 10402]"
1042,"[10402, 18]"
1043,"[10749, 14, 18, 10402]"
1044,"[10402, 99]"
1045,"[18, 12, 10402]"
1046,"[18, 10402]"
1047,"[35, 10402]"
1048,"[35, 10402]"
1049,"[99, 10402]"
1050,"[10402, 99, 10770]"
1051,"[99, 10402]"
1052,"[18, 10402, 10749]"
1053,"[18, 10402]"
1054,"[99, 10402]"
1055,"[14, 10402, 10749]"
1056,"[18, 10402, 10749]"
1057,"[28, 99, 10402]"
1058,"[14, 35, 10402, 10749, 10770]"
1059,[10402]
1060,[10402]
1061,"[10749, 35, 10402]"
1062,"[18, 10402, 10749]"
1063,[10402]
1064,"[18, 10751, 10402]"
1065,"[99, 10402]"
1066,"[99, 10402]"
1067,[10402]
1068,"[10749, 35, 10402]"
1069,"[99, 10402]"
1070,"[99, 10402]"
1071,"[35, 10402, 10749]"
1072,"[35, 18, 10402]"
1073,"[18, 10402]"
1074,"[18, 10402]"
1075,"[10402, 18]"
1076,"[35, 10402, 10749]"
1077,[10402]
1078,"[35, 10402, 10749]"
1079,"[99, 10402]"
1080,"[18, 10402]"
1081,[10402]
1082,"[99, 10402]"
1083,"[10402, 99]"
1084,"[99, 10402]"
1085,[10402]
1086,"[99, 10402]"
1087,[10402]
1088,"[14, 35, 10402, 10749]"
1089,[10402]
1090,"[9648, 12, 35]"
1091,"[27, 9648, 878]"
1092,"[9648, 14, 12, 35]"
1093,"[12, 28, 53, 9648]"
1094,"[18, 9648, 53]"
1095,[9648]
1096,"[53, 9648]"
1097,"[27, 18, 9648, 53]"
1098,"[53, 9648]"
1099,"[9648, 53, 80]"
1100,"[28, 14, 9648, 80]"
1101,"[18, 53, 9648, 28]"
1102,"[18, 53, 80, 9648]"
1103,"[9648, 53]"
1104,"[16, 35, 10751, 9648]"
1105,"[53, 878, 9648]"
1106,"[53, 14, 35, 10751, 9648]"
1107,"[53, 878, 9648, 10749]"
1108,"[18, 53, 9648]"
1109,"[28, 18, 9648]"
1110,"[18, 878, 9648]"
1111,"[18, 53, 9648]"
1112,"[9648, 10749, 53]"
1113,"[18, 14, 27, 9648, 10749, 53]"
1114,"[18, 28, 53, 80, 9648]"
1115,"[10751, 12, 16, 35, 14, 9648]"
1116,"[16, 35, 9648, 10751, 14]"
1117,"[28, 12, 9648, 878, 53]"
1118,"[9648, 53]"
1119,"[27, 18, 53, 9648]"
1120,"[53, 18, 27, 9648, 878]"
1121,"[9648, 878, 53]"
1122,"[27, 53, 9648]"
1123,"[18, 9648, 80]"
1124,"[878, 18, 9648]"
1125,"[27, 53, 9648]"
1126,"[16, 9648]"
1127,"[80, 18, 9648, 53]"
1128,"[10749, 28, 12, 80, 9648]"
1129,"[28, 18, 9648, 53, 80]"
1130,"[80, 9648, 53]"
1131,"[18, 53, 9648]"
1132,"[80, 18, 9648]"
1133,"[18, 9648, 53]"
1134,"[28, 35, 53, 80, 9648]"
1135,"[80, 18, 53, 9648]"
1136,"[53, 18, 9648, 80]"
1137,"[9648, 53]"
1138,"[18, 53, 80, 36, 9648]"
1139,"[27, 53, 9648]"
1140,"[18, 9648, 10749, 53]"
1141,"[35, 9648, 10749, 53]"
1142,"[80, 18, 9648]"
1143,"[80, 18, 9648]"
1144,"[9648, 28, 18, 53, 80]"
1145,"[53, 18, 9648]"
1146,"[53, 9648, 878, 18]"
1147,"[80, 18, 9648, 10749, 53]"
1148,"[18, 9648, 878, 53]"
1149,"[9648, 18, 10749]"
1150,"[35, 80, 9648]"
1151,"[80, 18, 9648, 53]"
1152,"[18, 9648, 53]"
1153,"[27, 53, 9648]"
1154,"[9648, 53, 27]"
1155,"[80, 18, 53, 9648]"
1156,"[18, 9648, 53]"
1157,"[9648, 27, 53]"
1158,"[80, 18, 9648]"
1159,"[18, 14, 36, 9648]"
1160,"[27, 53, 9648]"
1161,"[9648, 28, 53, 878, 12]"
1162,"[27, 9648]"
1163,"[18, 27, 9648]"
1164,"[18, 9648, 53, 80]"
1165,"[9648, 35, 53]"
1166,"[9648, 27, 53]"
1167,"[80, 53, 27, 35, 9648, 14]"
1168,"[12, 35, 80, 9648, 10749, 53]"
1169,"[18, 53, 9648]"
1170,"[9648, 18, 53]"
1171,"[27, 9648, 53]"
1172,"[80, 18, 9648]"
1173,"[27, 9648, 18]"
1174,"[27, 9648]"
1175,"[18, 9648]"
1176,"[28, 80, 18, 9648, 53]"
1177,"[35, 80, 18, 9648, 53]"
1178,"[35, 10749]"
1179,"[35, 10749]"
1180,"[18, 10749]"
1181,"[35, 10751, 10749]"
1182,"[10749, 27]"
1183,"[10749, 35]"
1184,"[35, 10751, 10749, 14]"
1185,"[35, 10749]"
1186,"[10749, 18]"
1187,"[18, 36, 10749]"
1188,"[35, 18, 10751, 10749]"
1189,"[35, 18, 10749]"
1190,"[35, 10749]"
1191,"[18, 36, 10749]"
1192,"[18, 10749]"
1193,"[35, 18, 10749, 14]"
1194,"[35, 10749]"
1195,"[35, 10749]"
1196,"[35, 18, 10749]"
1197,"[35, 10749, 18]"
1198,"[35, 18, 10749]"
1199,"[18, 10749]"
1200,"[18, 10749]"
1201,"[10749, 16, 18]"
1202,"[28, 53, 80, 10749]"
1203,"[35, 10749]"
1204,"[14, 35, 10749]"
1205,"[28, 12, 18, 10749]"
1206,"[35, 10402, 10749]"
1207,"[35, 10749]"
1208,"[10752, 18, 10749]"
1209,"[12, 28, 10749, 18]"
1210,"[18, 10749]"
1211,"[35, 10402, 10749]"
1212,"[10402, 18, 10749, 10751]"
1213,"[35, 18, 10749]"
1214,"[12, 18, 28, 10749]"
1215,"[18, 10749]"
1216,"[18, 10749]"
1217,"[18, 10749]"
1218,"[35, 10749]"
1219,"[10749, 35]"
1220,"[18, 10749]"
1221,"[10749, 35]"
1222,"[35, 10749, 80]"
1223,"[80, 10749]"
1224,"[35, 18, 14, 10749]"
1225,"[18, 10749, 10752]"
1226,"[18, 27, 10749]"
1227,"[35, 18, 10749]"
1228,"[35, 10749]"
1229,"[18, 10749]"
1230,"[12, 18, 36, 10749]"
1231,"[35, 18, 10749]"
1232,"[10749, 18]"
1233,"[14, 18, 10749]"
1234,"[35, 10749, 878]"
1235,"[12, 35, 10749]"
1236,"[35, 10749]"
1237,"[35, 10749]"
1238,"[80, 18, 9648, 10749, 53]"
1239,"[18, 10749]"
1240,"[35, 18, 10749]"
1241,"[35, 10749, 18]"
1242,"[18, 35, 10749]"
1243,"[35, 10749]"
1244,"[35, 18, 10749]"
1245,"[35, 18, 10749]"
1246,"[10749, 18]"
1247,"[9648, 18, 10749, 53]"
1248,"[37, 18, 28, 10749]"
1249,"[10749, 35]"
1250,"[35, 10749]"
1251,"[10749, 80, 35, 18]"
1252,"[18, 12, 10749, 53]"
1253,"[80, 35, 10749]"
1254,"[9648, 18, 10749]"
1255,"[18, 9648, 10749]"
1256,"[10749, 35, 18]"
1257,"[10749, 53, 18]"
1258,"[18, 10749]"
1259,"[35, 10751, 10402, 10749]"
1260,"[35, 10749, 18, 10751]"
1261,"[35, 10749]"
1262,"[53, 12, 14, 878, 10749]"
1263,"[35, 10749]"
1264,"[18, 10749, 36]"
1265,"[18, 35, 10749]"
1266,"[10749, 35]"
1267,"[18, 10749]"
1268,"[18, 10749]"
1269,"[12, 10749, 18]"
1270,"[18, 10749]"
1271,"[80, 18, 10749, 53]"
1272,"[28, 16, 878]"
1273,"[28, 16, 878]"
1274,"[28, 16, 878]"
1275,"[28, 16, 878]"
1276,"[28, 16, 878]"
1277,"[28, 16, 878]"
1278,"[28, 878]"
1279,"[27, 53, 878]"
1280,"[878, 28, 12, 53]"
1281,"[28, 12, 35, 878]"
1282,"[28, 12, 35, 878]"
1283,"[878, 28, 14]"
1284,"[28, 53, 878]"
1285,"[16, 878, 28]"
1286,"[878, 28, 53]"
1287,"[12, 28, 878]"
1288,"[27, 878]"
1289,"[12, 28, 53, 878]"
1290,"[28, 53, 878]"
1291,"[28, 53, 878]"
1292,"[10751, 16, 35, 878]"
1293,"[12, 28, 53, 878]"
1294,"[878, 27, 28]"
1295,"[28, 12, 878]"
1296,"[28, 80, 878, 53]"
1297,"[53, 878, 28, 12]"
1298,"[16, 28, 878]"
1299,"[12, 28, 878]"
1300,"[878, 18]"
1301,"[878, 12, 9648]"
1302,"[18, 878, 16, 28]"
1303,"[28, 18, 878]"
1304,"[18, 878, 12]"
1305,"[27, 28, 878]"
1306,"[12, 28, 878]"
1307,"[53, 28, 878, 80]"
1308,"[12, 28, 53, 878]"
1309,"[878, 53, 9648]"
1310,"[28, 14, 878]"
1311,"[878, 28, 27]"
1312,"[28, 12, 53, 878]"
1313,"[18, 53, 878, 9648]"
1314,"[28, 878, 53]"
1315,"[878, 28, 12]"
1316,"[12, 28, 878]"
1317,"[28, 53, 878, 9648]"
1318,"[18, 878, 16]"
1319,"[878, 12, 28]"
1320,"[878, 35, 80]"
1321,"[9648, 878, 53]"
1322,"[878, 28, 12, 53]"
1323,"[28, 878, 53]"
1324,"[28, 12, 35, 878, 37]"
1325,"[28, 12, 878]"
1326,"[878, 28, 12]"
1327,"[28, 35, 27, 878, 53]"
1328,"[27, 878, 9648]"
1329,"[12, 28, 14, 878, 53, 10749, 16]"
1330,"[878, 28]"
1331,"[16, 878]"
1332,"[10751, 28, 12, 16, 35, 878]"
1333,"[878, 28]"
1334,"[12, 28, 53, 878]"
1335,"[878, 28, 12, 53]"
1336,"[12, 35, 10751, 878]"
1337,"[27, 9648, 878]"
1338,"[28, 16, 878]"
1339,"[10749, 878, 14, 53]"
1340,"[35, 80, 878]"
1341,"[878, 18]"
1342,"[28, 18, 878, 53]"
1343,"[27, 35, 28, 878, 53]"
1344,"[53, 28, 35, 878]"
1345,"[12, 14, 16, 878, 10751]"
1346,"[28, 12, 14, 27, 878, 53]"
1347,"[16, 28, 878, 10751, 12]"
1348,"[14, 27, 53, 878]"
1349,"[28, 35, 878]"
1350,"[28, 12, 80, 878, 53]"
1351,"[35, 878, 28, 12]"
1352,"[878, 53]"
1353,"[28, 878, 53]"
1354,"[878, 10751, 35, 16]"
1355,"[28, 12, 878, 53]"
1356,"[35, 10749, 878]"
1357,"[99, 10770]"
1358,"[18, 14, 10770, 10751]"
1359,"[36, 18, 10752, 10770]"
1360,"[12, 10751, 14, 10770]"
1361,"[10752, 36, 18, 10770]"
1362,"[10770, 10751]"
1363,"[10770, 10751, 35, 18, 10749]"
1364,"[12, 10751, 14, 10770, 27]"
1365,"[18, 10770]"
1366,"[12, 14, 878, 10770]"
1367,"[878, 28, 16, 14, 10770]"
1368,"[16, 35, 10770]"
1369,"[53, 35, 10751, 27, 10770]"
1370,"[12, 14, 10770]"
1371,"[10770, 18, 36]"
1372,"[18, 53, 10770]"
1373,"[18, 36, 10752, 10770]"
1374,"[10751, 10770]"
1375,"[12, 10770]"
1376,"[10770, 18, 10751, 878, 14]"
1377,"[18, 10770]"
1378,"[80, 18, 53, 10770]"
1379,"[10751, 10770, 12, 35, 878]"
1380,"[12, 14, 35, 878, 10751, 10770]"
1381,"[10751, 10770, 35, 12]"
1382,"[99, 10770]"
1383,"[18, 36, 10770]"
1384,"[10770, 10751, 18]"
1385,"[16, 10770, 28, 35]"
1386,"[10770, 28, 9648]"
1387,"[18, 10770]"
1388,"[10402, 10770, 99]"
1389,"[18, 10402, 10749, 10770]"
1390,"[10770, 53, 18, 36, 10749]"
1391,"[10751, 14, 18, 10770]"
1392,"[10770, 35]"
1393,"[10770, 28, 12]"
1394,"[35, 10751, 10770]"
1395,"[27, 53, 10770]"
1396,"[18, 27, 10770]"
1397,"[18, 10749, 10770]"
1398,"[10770, 10751, 18, 35]"
1399,"[10770, 10751, 35]"
1400,"[10770, 18, 36, 10752]"
1401,"[878, 27, 10770]"
1402,"[27, 10770]"
1403,[10770]
1404,"[10770, 9648]"
1405,"[35, 10751, 10770]"
1406,"[10752, 18, 10770]"
1407,"[16, 10770, 28, 35]"
1408,"[36, 18, 10770]"
1409,"[12, 16, 35, 10770]"
1410,"[18, 10751, 10749, 10770]"
1411,"[18, 35, 10770]"
1412,"[18, 10751, 35, 10770]"
1413,"[18, 10749, 53, 37, 28, 10770]"
1414,"[878, 53, 10770]"
1415,"[10770, 18, 36]"
1416,"[10770, 35]"
1417,"[18, 10770]"
1418,"[80, 53, 9648, 10770]"
1419,"[28, 18, 10770]"
1420,"[18, 10749, 10770]"
1421,"[53, 10770, 18, 14]"
1422,"[18, 10770]"
1423,"[14, 28, 12, 878, 10770]"
1424,"[10751, 12, 10770]"
1425,"[878, 10770]"
1426,"[10751, 10770]"
1427,"[18, 10751, 9648, 37, 10770]"
1428,"[35, 10770]"
1429,"[18, 10770]"
1430,"[18, 10751, 10770]"
1431,"[18, 10770]"
1432,"[18, 10770]"
1433,"[18, 10770]"
1434,"[12, 18, 10770]"
1435,"[10770, 28, 80, 9648]"
1436,"[878, 53, 10770]"
1437,"[28, 18, 10770]"
1438,"[10770, 18]"
1439,"[80, 18, 9648, 10770]"
1440,"[53, 10770]"
1441,"[14, 35, 878, 10751, 10770]"
1442,"[18, 53, 36, 10770, 80]"
1443,"[18, 10770]"
1444,"[12, 18, 10752, 10770]"
1445,[10770]
1446,"[80, 18, 10770]"
1447,"[35, 18, 10770]"
1448,"[10770, 18]"
1449,"[16, 35, 12, 9648, 10770]"
1450,"[18, 10402, 10749, 10770]"
1451,"[18, 10770]"
1452,"[18, 10770]"
1453,"[16, 10751, 10770]"
1454,"[18, 27, 53, 10770]"
1455,"[10770, 27, 878, 53]"
1456,"[53, 10770]"
1457,"[53, 18, 80, 27]"
1458,"[12, 28, 53]"
1459,"[18, 14, 53, 9648, 27]"
1460,"[9648, 53, 18]"
1461,"[18, 53, 9648]"
1462,"[12, 28, 53]"
1463,"[12, 28, 53]"
1464,"[28, 80, 53]"
1465,"[12, 28, 53]"
1466,"[27, 53]"
1467,"[27, 53]"
1468,"[80, 18, 53]"
1469,"[27, 53]"
1470,"[12, 28, 53]"
1471,"[28, 12, 35, 80, 53]"
1472,"[28, 53]"
1473,"[28, 12, 53]"
1474,"[53, 18, 9648]"
1475,"[18, 9648, 53, 80]"
1476,"[9648, 53, 27]"
1477,"[12, 28, 53]"
1478,"[9648, 53]"
1479,"[28, 12, 35, 80, 53]"
1480,"[28, 12, 53]"
1481,"[28, 12, 53]"
1482,"[18, 53]"
1483,"[27, 53]"
1484,"[27, 9648, 53]"
1485,"[28, 878, 53]"
1486,"[12, 28, 53]"
1487,"[18, 53, 9648]"
1488,"[28, 18, 9648, 53]"
1489,"[12, 28, 53]"
1490,"[28, 12, 18, 53]"
1491,"[28, 53, 12]"
1492,"[53, 878, 9648]"
1493,"[80, 28, 27, 53]"
1494,"[53, 27]"
1495,"[28, 53, 80]"
1496,"[16, 53]"
1497,"[53, 28, 35, 80, 18]"
1498,"[9648, 53]"
1499,"[80, 53, 10749, 18]"
1500,"[18, 28, 53, 80]"
1501,"[28, 12, 53]"
1502,"[53, 18, 80]"
1503,"[18, 53, 28]"
1504,"[12, 28, 53]"
1505,"[53, 80, 9648]"
1506,"[10752, 18, 28, 53]"
1507,"[18, 9648, 53]"
1508,"[28, 12, 53]"
1509,"[12, 28, 53]"
1510,"[28, 12, 80, 53]"
1511,"[18, 28, 53, 80]"
1512,"[27, 53]"
1513,"[18, 80, 9648, 53]"
1514,"[53, 80, 18]"
1515,"[80, 18, 10749, 53]"
1516,"[878, 53]"
1517,"[27, 9648, 53]"
1518,"[18, 27, 9648, 53]"
1519,"[18, 53]"
1520,[53]
1521,"[27, 53]"
1522,"[80, 28, 9648, 53]"
1523,"[53, 80, 9648]"
1524,"[27, 28, 53]"
1525,"[27, 53]"
1526,"[9648, 53]"
1527,"[28, 18, 53]"
1528,"[18, 53]"
1529,"[28, 18, 53, 80]"
1530,"[28, 53, 80, 14, 9648]"
1531,"[80, 18, 53]"
1532,"[18, 28, 53, 80]"
1533,"[28, 12, 18, 10749, 53]"
1534,"[16, 878, 53, 18]"
1535,"[12, 18, 28, 36, 10752]"
1536,"[18, 35, 10752]"
1537,"[18, 36, 10752]"
1538,"[18, 36, 10752]"
1539,"[10752, 28]"
1540,"[28, 35, 10752]"
1541,"[878, 12, 28, 10752]"
1542,"[28, 35, 10752]"
1543,"[18, 53, 9648, 10752]"
1544,"[35, 18, 10752]"
1545,"[18, 10752, 10749, 37]"
1546,"[10752, 18]"
1547,"[18, 35, 10752]"
1548,"[36, 18, 10752]"
1549,"[35, 18, 10402, 10749, 10752]"
1550,"[10752, 28, 53]"
1551,"[10752, 18]"
1552,"[10752, 18]"
1553,[10752]
1554,"[28, 80, 9648, 53, 10752]"
1555,"[18, 36, 10752]"
1556,"[18, 10752]"
1557,"[18, 53, 10752]"
1558,"[28, 12, 10752, 10770]"
1559,"[28, 12, 18, 10752, 10770]"
1560,"[18, 10752, 9648]"
1561,"[18, 10752]"
1562,"[18, 10752]"
1563,"[10752, 18, 10749]"
1564,"[18, 10749, 10752]"
1565,"[28, 12, 18, 10752, 10770]"
1566,"[36, 10752, 28, 18]"
1567,"[10770, 18, 10752]"
1568,"[28, 12, 18, 10752, 10770]"
1569,"[10752, 18]"
1570,"[28, 12, 18, 10752, 10770]"
1571,"[10752, 12, 28, 80]"
1572,"[10752, 35, 18]"
1573,"[18, 14, 10752]"
1574,"[10752, 28, 10770]"
1575,"[18, 10752]"
1576,"[28, 10752]"
1577,"[18, 10752]"
1578,"[99, 10752]"
1579,"[16, 10752, 36]"
1580,"[99, 36, 10752]"
1581,"[28, 18, 36, 10752]"
1582,"[53, 10752]"
1583,"[99, 10752]"
1584,"[10752, 36]"
1585,"[18, 36, 10749, 10752]"
1586,"[10749, 18, 10752]"
1587,"[10752, 18]"
1588,"[18, 10749, 10752]"
1589,"[99, 36, 10752]"
1590,"[99, 10752, 36]"
1591,[10752]
1592,"[99, 10752, 36]"
1593,"[18, 10752]"
1594,"[99, 10752]"
1595,"[18, 10752, 10749]"
1596,"[18, 10752]"
1597,"[10752, 18]"
1598,"[10752, 99, 36]"
1599,"[18, 10752, 10749]"
1600,"[99, 10752]"
1601,"[18, 10752]"
1602,"[99, 10752]"
1603,"[18, 10752]"
1604,[37]
1605,"[37, 80, 28, 12, 18]"
1606,"[37, 28, 53]"
1607,"[37, 35]"
1608,"[18, 14, 37]"
1609,"[12, 35, 37]"
1610,"[18, 10749, 37]"
1611,"[18, 28, 37, 10749]"
1612,[37]
1613,[37]
1614,"[37, 10749]"
1615,"[28, 18, 37, 10749]"
1616,"[36, 18, 37]"
1617,"[35, 37, 28]"
1618,"[18, 37, 12, 10751]"
1619,"[18, 14, 37, 10770]"
1620,"[18, 10749, 37, 35]"
1621,"[12, 37, 10770]"
1622,"[80, 37, 10770]"
1623,"[28, 37]"
1624,"[37, 12]"
1625,"[37, 10770]"
